,time,src_domain,src_comp,dst_comp
4,153792,U636@DOM1,C17693,C294
5,155219,U748@DOM1,C17693,C5693
39,483455,U1723@DOM1,C17693,C294
40,483981,U1723@DOM1,C17693,C294
41,485925,U1723@DOM1,C17693,C294
42,486443,U636@DOM1,C17693,C294
45,491747,U1723@DOM1,C17693,C294
79,736894,U2837@DOM1,C17693,C1484
166,755904,U162@DOM1,C17693,C798
168,757235,U737@DOM1,C17693,C1125
184,760807,U3635@DOM1,C17693,C2816
207,764522,U1480@DOM1,C17693,C1183
228,766150,U293@DOM1,C17693,C1710
243,767238,U2837@DOM1,C17693,C1484
318,774180,U66@DOM1,C17693,C1710
393,1074182,U66@DOM1,C17693,C1964
415,1075605,U66@DOM1,C17693,C5439
416,1075609,U66@DOM1,C17693,C5439
417,1075721,U66@DOM1,C17693,C4106
435,1077140,U218@DOM1,C17693,C1710
466,1079926,U66@DOM1,C17693,C798
541,1100031,U7507@DOM1,C17693,C4773
578,1167994,U66@DOM1,C17693,C3037
593,1174646,U2575@DOM1,C17693,C8751
598,1177987,U3005@DOM1,C17693,C1710
602,1178267,U66@DOM1,C17693,C1710
608,1179228,U1569@DOM1,C17693,C1632
610,1179553,U655@DOM1,C17693,C3037
611,1179589,U655@DOM1,C17693,C1710
649,1244695,U114@DOM1,C17693,C1710
654,1246511,U8777@DOM1,C17693,C1710
655,1246653,U114@DOM1,C17693,C1710
678,1358383,U7311@DOM1,C17693,C977
679,1358404,U7311@DOM1,C17693,C977
684,1361921,U524@DOM1,C17693,C15
685,1362045,U524@DOM1,C17693,C15
